Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x coordinate,y coordinate,Location
2019,224,108244,108244,,124 Rathdowne Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9709,-37.7967,POINT (144.9709237 -37.79673153)
2019,604,613976,613976,,25 Hayes Lane EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.99,-37.8142,POINT (144.9899993 -37.81418508)
2019,224,103161,103161,,62 Elgin Street CARLTON 3053,Carlton,1870.0,,2.0,Office,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.9725,-37.7974,POINT (144.9725162 -37.79744029)
2019,214,111212,111207,5/47-51 Little Palmerston Street,47-51 Little Palmerston Street CARLTON 3053,Carlton,1869.0,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9686,-37.7968,POINT (144.9685803 -37.79681616)
2019,308,100069,100069,,453 Abbotsford Street NORTH MELBOURNE 3051,North Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9464,-37.7957,POINT (144.9464269 -37.79569876)
2019,36,102151,102151,Collins Street Baptist Church,170-174 Collins Street MELBOURNE 3000,Melbourne (CBD),1859.0,1997.0,10.0,"Performances, Conferences, Ceremonies",Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,,144.9677,-37.8147,POINT (144.9677144 -37.81474497)
2019,2387,617482,617482,,77-83 Sutton Street NORTH MELBOURNE 3051,North Melbourne,1950.0,,1.0,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9383,-37.7925,POINT (144.9383302 -37.79250491)
2019,216,103092,103092,,145 Elgin Street CARLTON 3053,Carlton,1877.0,,2.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9698,-37.7977,POINT (144.9697999 -37.79772214)
2019,657,109579,109579,Vale Court,98-108 Vale Street EAST MELBOURNE 3002,East Melbourne,,,3.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,0.0,,144.988,-37.8183,POINT (144.9879948 -37.81826676)
2019,236,103659,103659,,13-23 Faraday Street CARLTON 3053,Carlton,1930.0,,1.0,Storage,Low level of accessibility,All entrances have steps,1.0,0.0,,144.974,-37.7996,POINT (144.9739675 -37.79962086)
2019,656,105125,105125,,140-142 Jolimont Road EAST MELBOURNE 3002,East Melbourne,,,2.0,Office,Low level of accessibility,All entrances have steps,1.0,,,144.9792,-37.8173,POINT (144.9792237 -37.81730504)
2019,239,107546,107546,,228 Pelham Street MELBOURNE 3000,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9582,-37.8017,POINT (144.9581862 -37.80167799)
